id,x_min,y_min,x_max,y_max,width,height,area
0,0.22207223031264514,0.7332204803292861,0.2271728264829716,0.7376344122959501,0.00510059617032646,0.004413931966663953,2.25136844852477e-05
1,0.8835275866025734,0.08623021974660754,0.8932251647756866,0.09438092595437472,0.00969757817311323,0.008150706207767186,7.904211061590158e-05
2,0.5030125103248568,0.026437114997806353,0.5076484126962324,0.03016242397407438,0.0046359023713755665,0.0037253089762680283,1.7270168717187637e-05
3,0.6474687585232501,0.5426664138278868,0.6511858490024849,0.5468412965562331,0.0037170904792347415,0.004174882728346319,1.5518416841457662e-05
4,0.0064369444401947045,0.795988504618684,0.01594879607474472,0.8081881972814793,0.009511851634550015,0.012199692662795303,0.00011604166659561732
5,0.33912462254790204,0.1515398906719196,0.3424336372750855,0.17687833814976142,0.003309014727183479,0.025338447477841808,8.384529586814362e-05
6,0.09656416050824088,0.8438254973971208,0.09813800281092809,0.8481545750830896,0.0015738423026872145,0.004329077685968796,6.813285593796968e-06
7,0.799791947506667,0.7245297691499636,0.8088813649024311,0.7316584397638929,0.009089417395764077,0.0071286706139293,6.479546268692116e-05
8,0.5476362530070414,0.8259431909726642,0.5556146118753503,0.830116634201909,0.007978358868308888,0.004173443229244733,3.32972277994284e-05
9,0.6810591627825592,0.0457416027831229,0.7144307399927388,0.047548083654995806,0.03337157721017958,0.0018064808718729064,6.028511589441923e-05
10,0.28570528734991274,0.07967845802983337,0.2984310282769194,0.08110114359510993,0.012725740927006679,0.0014226855652765685,1.810472792430166e-05
11,0.6327238640945007,0.3630462460896023,0.6373811751182515,0.3679414636263987,0.0046573110237508875,0.004895217536796392,2.2798550597780504e-05
12,0.20856750267345983,0.2650511521166176,0.21305197316864147,0.27226774380842234,0.004484470495181636,0.007216591691804719,3.236259251767119e-05
13,0.17065816013709015,0.7120498909362277,0.1734657554176761,0.7354709297214245,0.0028075952805859394,0.023421038785196746,6.575679795973863e-05
14,0.3776525932576766,0.9869222917163241,0.38240374003691463,0.9895508895342511,0.004751146779238047,0.002628597817927014,1.2488854056556091e-05
15,0.8308434023374808,0.7716003248140818,0.8450908846824513,0.7772698959914759,0.01424748234497053,0.005669571177394084,8.0777115253476e-05
